nome;marca;fragrancia;link;descricao
Lanc�me Id�le Aura;Lanc�me;baunilha;https://www.amobeleza.com.br/perfume-lancome-idole-aura-feminino-eau-de-parfum-50-ml/p;Idôle Aura é uma fragrância moderna que celebra a força e a feminilidade. Lançado em 2019, é uma evolução da linha Idôle da Lancôme. Este perfume é caracterizado por suas notas principais de rosa, jasmim e almíscar branco. A rosa é o coração da fragrância, com três tipos diferentes de rosa sendo usadas para criar um aroma fresco e natural. As notas de jasmim acrescentam um toque de luminosidade e sofisticação, enquanto o almíscar branco proporciona uma base suave e sensual. A embalagem fina e elegante reflete a modernidade e o espírito independente da mulher que o usa.
Gabriela Sabatini Eau de Toilette;Gabriela Sabatini;floral;https://www.amobeleza.com.br/perfume-gabriela-sabatini-feminino-eau-de-toilette-30-ml/p;Lançado em 1989, Gabriela Sabatini Eau de Toilette é um perfume floral clássico que se tornou um ícone. Ele abre com notas frescas e vibrantes de cítricos, seguidas por um coração floral de jasmim, flor de laranjeira e tuberosa. A base é composta de uma mistura calorosa e sensual de sândalo, almíscar e âmbar, criando um aroma sofisticado e atemporal. Este perfume é ideal para mulheres que valorizam a elegância clássica e a feminilidade.
Antonio Banderas Her Secret Temptation;Antonio Banderas;floral;https://www.amobeleza.com.br/perfume-antonio-banderas-her-secret-temptation-feminino-eau-de-toilette-50-ml/p;Her Secret Temptation de Antonio Banderas é uma fragrância sedutora e intrigante, lançada em 2017. Este perfume é uma composição floral amadeirada que abre com notas frescas e cítricas de néroli e pimenta rosa. O coração é dominado por flores como rosa da Bulgária e jasmim, proporcionando um toque feminino e romântico. A base é quente e sensual, com acordes de madeira de cedro, patchouli e almíscar. É uma fragrância ideal para mulheres confiantes e charmosas.
Shakira Dance Midnight Muse;Shakira;amadeirado;https://www.amobeleza.com.br/perfume-shakira-dance-midnight-muse-feminino-eau-de-toilette-50-ml/p;Dance Midnight Muse de Shakira é um perfume âmbar floral que reflete a confiança e a energia da famosa cantora latina. Lançado em 2019, ele possui uma abertura doce e envolvente com notas de flor de laranjeira e chantilly. O coração do perfume é composto por acordes florais e frutados que evocam sensualidade e feminilidade, enquanto a base com tons de âmbar e baunilha confere um calor sedutor. O frasco, com seu design que lembra um corpo feminino em movimento, é um reflexo do espírito vibrante e dinâmico de Shakira.
Benetton Colors Purple;United Colors of Benetton;floral;https://www.amobeleza.com.br/perfume-benetton-colors-purple-feminino-eau-de-toilette-50-ml/p;Colors Purple de Benetton é uma fragrância alegre e vibrante, ideal para o verão. Lançado em 2017, este perfume combina notas frescas de bergamota e toranja na abertura, criando uma sensação revigorante. O coração floral é dominado por jasmim e rosa, que acrescentam um toque de doçura e feminilidade. A base é composta por patchouli e âmbar, que dão profundidade e calor à fragrância. É perfeito para mulheres jovens e aventureiras que apreciam aromas frescos e energizantes.
Yves Saint Laurent Libre;Yves Saint Laurent;citrico;https://www.amobeleza.com.br/perfume-yves-saint-laurent-libre-feminino-eau-de-toilette-50-ml/p;Libre é uma fragrância inovadora da Yves Saint Laurent, lançada em 2019. Este perfume é uma mistura ousada de frescor e calor, com notas de topo de lavanda francesa e tangerina. O coração floral é composto por flor de laranjeira e jasmim árabe, que conferem uma feminilidade moderna e sofisticada. A base de baunilha de Madagascar e âmbar gris proporciona um fundo sensual e duradouro. Libre é um perfume para mulheres que celebram sua liberdade e ousadia.
Giorgio Armani My Way;Giorgio Armani;citrico;https://www.amobeleza.com.br/perfume-giorgio-armani-my-way-feminino-eau-de-parfum-30-ml/p;My Way de Giorgio Armani é uma fragrância que reflete a curiosidade e autenticidade da mulher moderna. Lançado em 2020, ele abre com notas frescas de bergamota e flor de laranjeira do Egito. O coração floral é dominado por jasmim da Índia e tuberosa, que oferecem uma elegância atemporal. A base combina baunilha de Madagascar, madeira de cedro e almíscar branco, criando uma assinatura calorosa e envolvente. O frasco, com detalhes azuis e dourados, simboliza o mundo e a jornada da vida.
Prada Paradoxe;Lanc�me;floral;https://www.amobeleza.com.br/perfume-prada-paradoxe-feminino-eau-de-parfum-30-ml/p;Paradoxe de Prada é uma fragrância que desafia as convenções, combinando contrastes em uma composição única. Lançado em 2022, ele mistura notas florais e doces, como baunilha, tangerina e bergamota. O coração apresenta um buquê floral inovador, enquanto a base é suave e cremosa, com toques de âmbar e almíscar. O frasco, com design angular e cor rosa coral, reflete a natureza paradoxal da fragrância, sendo ao mesmo tempo tradicional e moderna.
Giorgio Armani S� Passione;Giorgio Armani;floral;https://www.amobeleza.com.br/perfume-giorgio-armani-si-passione-feminino-eau-de-parfum-30-ml/p;Sì Passione é uma fragrância intensa e sensual de Giorgio Armani, lançada em 2017. Ela abre com notas vibrantes de pimenta rosa e pêra, seguidas por um coração floral de rosa e jasmim. A base é rica em baunilha e cedro, criando um aroma envolvente e poderoso. Sì Passione é um perfume para mulheres confiantes que não têm medo de mostrar suas emoções.
Calvin Klein Euphoria;Calvin Klein;ambar;https://www.amobeleza.com.br/perfume-calvin-klein-euphoria-feminino-eau-de-parfum-30-ml/p;Euphoria de Calvin Klein é uma fragrância exótica e cativante, lançada em 2005. As notas de topo incluem romã e caqui, que criam uma abertura suculenta e vibrante. O coração é dominado por orquídea negra e lótus, que oferecem um toque floral profundo e misterioso. A base é quente e sensual, com âmbar, violeta e almíscar. Euphoria é uma fragrância ideal para mulheres que gostam de aromas intensos e sedutores.
